2018-07-08 00:17:24.715 [main] INFO  com.lee.component.SendMailTest -Starting SendMailTest on leedeMacBook-Pro.local with PID 54184 (started by lee in /Users/lee/workspace/lee/mail)
2018-07-08 00:17:24.716 [main] INFO  com.lee.component.SendMailTest -The following profiles are active: dev
2018-07-08 00:17:24.758 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext -Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@446a1e84: startup date [Sun Jul 08 00:17:24 CST 2018]; root of context hierarchy
2018-07-08 00:17:25.493 [main] INFO  com.lee.component.SendMailTest -Started SendMailTest in 1.237 seconds (JVM running for 3.198)
2018-07-08 00:17:25.875 [Thread-3] INFO  o.s.c.a.AnnotationConfigApplicationContext -Closing org.springframework.context.annotation.AnnotationConfigApplicationContext@446a1e84: startup date [Sun Jul 08 00:17:24 CST 2018]; root of context hierarchy
2018-07-08 00:18:10.281 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.lee.component.SendMailTest], using SpringBootContextLoader
2018-07-08 00:18:10.301 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.lee.component.SendMailTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-07-08 00:18:10.303 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.lee.component.SendMailTest]: SendMailTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-07-08 00:18:10.642 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.lee.MailApplication for test class com.lee.component.SendMailTest
2018-07-08 00:18:10.918 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-07-08 00:18:10.951 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3943a2be, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@343570b7, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@157853da, org.springframework.test.context.support.DirtiesContextTestExecutionListener@71c3b41, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@236e3f4e, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3cc1435c, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6bf0219d, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@dd0c991, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5f16132a]
2018-07-08 00:18:11.543 [main] INFO  com.lee.component.SendMailTest -Starting SendMailTest on leedeMacBook-Pro.local with PID 54194 (started by lee in /Users/lee/workspace/lee/mail)
2018-07-08 00:18:11.543 [main] INFO  com.lee.component.SendMailTest -The following profiles are active: dev
2018-07-08 00:18:11.565 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext -Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@446a1e84: startup date [Sun Jul 08 00:18:11 CST 2018]; root of context hierarchy
2018-07-08 00:18:12.254 [main] INFO  com.lee.component.SendMailTest -Started SendMailTest in 1.189 seconds (JVM running for 3.204)
2018-07-08 00:18:12.782 [Thread-3] INFO  o.s.c.a.AnnotationConfigApplicationContext -Closing org.springframework.context.annotation.AnnotationConfigApplicationContext@446a1e84: startup date [Sun Jul 08 00:18:11 CST 2018]; root of context hierarchy
2018-07-08 00:18:42.687 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.lee.component.SendMailTest], using SpringBootContextLoader
2018-07-08 00:18:42.710 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.lee.component.SendMailTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-07-08 00:18:42.712 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.lee.component.SendMailTest]: SendMailTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-07-08 00:18:43.099 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.lee.MailApplication for test class com.lee.component.SendMailTest
2018-07-08 00:18:43.405 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-07-08 00:18:43.431 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3943a2be, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@343570b7, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@157853da, org.springframework.test.context.support.DirtiesContextTestExecutionListener@71c3b41, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@236e3f4e, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3cc1435c, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6bf0219d, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@dd0c991, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5f16132a]
2018-07-08 00:18:44.168 [main] INFO  com.lee.component.SendMailTest -Starting SendMailTest on leedeMacBook-Pro.local with PID 54204 (started by lee in /Users/lee/workspace/lee/mail)
2018-07-08 00:18:44.168 [main] INFO  com.lee.component.SendMailTest -The following profiles are active: dev
2018-07-08 00:18:44.197 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext -Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@446a1e84: startup date [Sun Jul 08 00:18:44 CST 2018]; root of context hierarchy
2018-07-08 00:18:45.049 [main] INFO  com.lee.component.SendMailTest -Started SendMailTest in 1.505 seconds (JVM running for 3.52)
2018-07-08 00:18:45.577 [Thread-3] INFO  o.s.c.a.AnnotationConfigApplicationContext -Closing org.springframework.context.annotation.AnnotationConfigApplicationContext@446a1e84: startup date [Sun Jul 08 00:18:44 CST 2018]; root of context hierarchy
